====== Scene: 83 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/build.ninja...
Building extension module renderutils_plugin...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Using mesh scale : 2.1, center : [ 0.0737121  -0.00480722 -0.10070956]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan83
config configs/83.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan83
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/83.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.0737121  -0.00480722 -0.10070956]
---------
DatasetLLFF: 60 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.0737121  -0.00480722 -0.10070956]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 250850 triangles and 125828 vertices.
Avg edge length: 1.924560
ninja: no work to do.
Loading extension module renderutils_plugin...
iter=    0, img_loss=0.271676, reg_loss=0.032734, lr=0.00000, time=924.3 ms, rem=1.28 h
iter=   10, img_loss=0.285494, reg_loss=0.035384, lr=0.00000, time=1027.7 ms, rem=1.42 h
iter=   20, img_loss=0.288398, reg_loss=0.035475, lr=0.00000, time=1059.9 ms, rem=1.47 h
iter=   30, img_loss=0.286756, reg_loss=0.035342, lr=0.00000, time=1073.5 ms, rem=1.48 h
iter=   40, img_loss=0.281476, reg_loss=0.035214, lr=0.00000, time=1076.9 ms, rem=1.48 h
iter=   50, img_loss=0.248464, reg_loss=0.032190, lr=0.00000, time=1025.0 ms, rem=1.41 h
iter=   60, img_loss=0.271812, reg_loss=0.033498, lr=0.00000, time=1060.3 ms, rem=1.46 h
iter=   70, img_loss=0.270610, reg_loss=0.033702, lr=0.00000, time=1072.4 ms, rem=1.47 h
iter=   80, img_loss=0.274336, reg_loss=0.033683, lr=0.00000, time=1076.8 ms, rem=1.47 h
iter=   90, img_loss=0.265598, reg_loss=0.033358, lr=0.00000, time=1066.4 ms, rem=1.45 h
iter=  100, img_loss=0.291696, reg_loss=0.035713, lr=0.00000, time=1116.5 ms, rem=1.52 h
iter=  110, img_loss=0.270577, reg_loss=0.033520, lr=0.00000, time=1078.0 ms, rem=1.46 h
iter=  120, img_loss=0.275317, reg_loss=0.034004, lr=0.00000, time=1084.9 ms, rem=1.47 h
iter=  130, img_loss=0.279003, reg_loss=0.034539, lr=0.00000, time=1095.9 ms, rem=1.48 h
iter=  140, img_loss=0.244086, reg_loss=0.030528, lr=0.00000, time=1018.5 ms, rem=1.38 h
iter=  150, img_loss=0.274811, reg_loss=0.033931, lr=0.00000, time=1084.9 ms, rem=1.46 h
iter=  160, img_loss=0.267760, reg_loss=0.034095, lr=0.00000, time=1081.2 ms, rem=1.45 h
iter=  170, img_loss=0.266970, reg_loss=0.033061, lr=0.00000, time=1068.7 ms, rem=1.43 h
iter=  180, img_loss=0.263415, reg_loss=0.032478, lr=0.00000, time=1057.5 ms, rem=1.42 h
iter=  190, img_loss=0.247281, reg_loss=0.031457, lr=0.00000, time=1033.1 ms, rem=1.38 h
iter=  200, img_loss=0.272373, reg_loss=0.033203, lr=0.00000, time=1072.9 ms, rem=1.43 h
iter=  210, img_loss=0.279758, reg_loss=0.034510, lr=0.00000, time=1095.2 ms, rem=1.46 h
iter=  220, img_loss=0.259924, reg_loss=0.031995, lr=0.00000, time=1047.1 ms, rem=1.39 h
iter=  230, img_loss=0.255895, reg_loss=0.031696, lr=0.00000, time=1041.1 ms, rem=1.38 h
iter=  240, img_loss=0.254922, reg_loss=0.032440, lr=0.00000, time=1050.6 ms, rem=1.39 h
iter=  250, img_loss=0.272160, reg_loss=0.033351, lr=0.00000, time=1072.3 ms, rem=1.41 h
iter=  260, img_loss=0.263394, reg_loss=0.032395, lr=0.00000, time=1055.3 ms, rem=1.39 h
iter=  270, img_loss=0.262868, reg_loss=0.032558, lr=0.00000, time=1055.2 ms, rem=1.39 h
